2022-11-19,Iowa vs Minnesota,FOX,4:00p,2.5,B10 vs B10,Iowa,Minnesota,B10,B10
2022-11-19,Wisconsin vs Nebraska,ESPN,12:00p,1.63,B10 vs B10,Wisconsin,Nebraska,B10,B10
2022-11-19,Boston College vs Notre Dame,NBC,2:30p,1.27,ACC vs Independent,Boston College,Notre Dame,ACC,Independent
2022-11-26,Michigan vs Ohio State,FOX,12:00p,17.14,B10 vs B10,Michigan,Ohio State,B10,B10
2022-11-25,Florida vs FSU,ABC,7:30p,6.71,SEC vs ACC,Florida,FSU,SEC,ACC
2022-11-26,Notre Dame vs USC,ABC,8:00p,6.68,Independent vs P12,Notre Dame,USC,Independent,P12
2022-11-26,Auburn vs Alabama,CBS,3:30p,6.27,SEC vs SEC,Auburn,Alabama,SEC,SEC
2022-11-26,Iowa State vs TCU,FOX,4:00p,4.34,B12 vs B12,Iowa State,TCU,B12,B12
2022-11-26,LSU vs Texas A&M,ESPN,7:00p,3.92,SEC vs SEC,LSU,Texas A&M,SEC,SEC
2022-11-25,NC State vs North Carolina,ABC,3:30p,3.61,ACC vs ACC,NC State,North Carolina,ACC,ACC
2022-11-25,Oregon vs Oregon State,ABC,3:30p,3.56,P12 vs P12,Oregon,Oregon State,P12,P12
2022-11-25,Arkansas vs Missouri,CBS,3:30p,3.27,SEC vs SEC,Arkansas,Missouri,SEC,SEC
2022-11-25,UCLA vs Cal,FOX,4:30p,3.27,P12 vs P12,UCLA,Cal,P12,P12
2023-09-03,FSU vs LSU,ABC,7:30p,9.17,ACC vs  SEC,FSU,LSU,ACC,SEC
2023-09-02,Colorado vs TCU,FOX,12:00p,7.26,P12 vs  B12,Colorado,TCU,P12,B12
2023-09-02,Ohio State vs Indiana,CBS,3:30p,4.65,B10 vs  B10,Ohio State,Indiana,B10,B10
2023-09-04,Clemson vs Duke,ESPN,8:00p,4.39,ACC vs  ACC,Clemson,Duke,ACC,ACC
2023-09-02,West Virginia vs Penn State,NBC,7:30p,3.5,B12 vs  B10,West Virginia,Penn State,B12,B10
2023-08-31,Nebraska vs Minnesota,FOX,8:00p,3.49,B10 vs  B10,Nebraska,Minnesota,B10,B10
2023-09-02,North Carolina vs South Carolina,ABC,7:30p,3.4,ACC vs  SEC,North Carolina,South Carolina,ACC,SEC
2023-09-02,Oregon State vs San Jose State,CBS,3:30p,3.23,P12 vs  MWC,Oregon State,San Jose State,P12,MWC
2023-09-02,Rice vs Texas,FOX,3:30p,3.21,AAC vs  B12,Rice,Texas,AAC,B12
2023-08-31,Florida vs Utah,ESPN,8:00p,3.19,SEC vs  P12,Florida,Utah,SEC,P12
2023-09-09,Texas vs Alabama,ESPN,7:00p,8.76,B12 vs  SEC,Texas,Alabama,B12,SEC
2023-09-09,Nebraska vs Colorado,FOX,12:00p,8.73,B10 vs  P12,Nebraska,Colorado,B10,P12
2023-09-09,Texas A&M vs Miami,ABC,5:19p,4.02,SEC vs  ACC,Texas A&M,Miami,SEC,ACC
2023-09-09,Iowa vs Iowa State,FOX,3:30p,3.38,B10 vs  B12,Iowa,Iowa State,B10,B12
2023-09-09,UNLV vs Michigan,CBS,3:30p,2.97,MWC vs  B10,UNLV,Michigan,MWC,B10
2023-09-09,Notre Dame vs NC State,ABC,12:00p,2.93,Independent vs  ACC,Notre Dame,NC State,Independent,ACC
2023-09-09,Oregon vs Texas Tech,FOX,7:00p,2.55,P12 vs  B12,Oregon,Texas Tech,P12,B12
2023-09-09,Wisconsin vs Washington St.,ABC,7:30p,2.28,B10 vs  P12,Wisconsin,Washington St.,B10,P12
2023-09-09,Auburn vs Cal,ESPN,10:30p,2.23,SEC vs  P12,Auburn,Cal,SEC,P12
2023-09-09,Stanford vs USC,FOX,10:30p,1.75,P12 vs  P12,Stanford,USC,P12,P12
2023-09-16,Colorado State vs Colorado,ESPN,10:00p,9.3,MWC vs  P12,Colorado State,Colorado,MWC,P12
2023-09-16,South Carolina vs Georgia,CBS,3:30p,5.42,SEC vs  SEC,South Carolina,Georgia,SEC,SEC
2023-09-16,Tennessee vs Florida,ESPN,7:00p,5.31,SEC vs  SEC,Tennessee,Florida,SEC,SEC
2023-09-16,Alabama vs USF,ABC,3:30p,4.84,SEC vs  AAC,Alabama,USF,SEC,AAC
2023-09-16,FSU vs Boston College,ABC,12:00p,3.48,ACC vs  ACC,FSU,Boston College,ACC,ACC
2023-09-16,Penn State vs Illinois,FOX,12:00p,3.22,B10 vs  B10,Penn State,Illinois,B10,B10
2023-09-16,WKU vs Ohio State,FOX,4:00p,2.82,C-USA vs  B10,WKU,Ohio State,C-USA,B10
2023-09-16,LSU vs Mississippi St.,ESPN,12:00p,2.8,SEC vs  SEC,LSU,Mississippi St.,SEC,SEC
2023-09-16,Pittsburgh vs West Virginia,ABC,7:30p,2.41,ACC vs  B12,Pittsburgh,West Virginia,ACC,B12
2023-09-16,Minnesota vs North Carolina,ESPN,3:30p,1.58,B10 vs  ACC,Minnesota,North Carolina,B10,ACC
2023-09-23,Colorado vs Oregon,ABC,3:30p,10.03,B12 vs  P12,Colorado,Oregon,B12,P12
2023-09-23,Ohio State vs Notre Dame,NBC,7:30p,9.99,B10 vs  Independent,Ohio State,Notre Dame,B10,Independent
2023-09-23,FSU vs Clemson,ABC,12:00p,6.71,ACC vs  ACC,FSU,Clemson,ACC,ACC
2023-09-23,Mississippi vs Alabama,CBS,3:30p,4.61,SEC vs  SEC,Mississippi,Alabama,SEC,SEC
2023-09-23,Iowa vs Penn State,CBS,7:30p,2.75,B10 vs  B10,Iowa,Penn State,B10,B10
2023-09-23,USC vs Arizona State,FOX,10:30p,2.63,P12 vs  P12,USC,Arizona State,P12,P12
2023-09-23,Texas vs Baylor,ABC,7:30p,2.63,B12 vs  B12,Texas,Baylor,B12,B12
2023-09-23,Arkansas vs LSU,ESPN,7:00p,2.44,SEC vs  SEC,Arkansas,LSU,SEC,SEC
2023-09-23,Auburn vs Texas A&M,ESPN,12:00p,2.18,SEC vs  SEC,Auburn,Texas A&M,SEC,SEC
2023-09-23,Oklahoma vs Cincinnati,FOX,12:00p,2.17,B12 vs  B12,Oklahoma,Cincinnati,B12,B12
2023-09-23,USC vs Colorado,FOX,12:00p,7.24,P12 vs  B12,USC,Colorado,P12,B12
2023-09-30,Georgia vs Auburn,CBS,3:30p,6.4,SEC vs  SEC,Georgia,Auburn,SEC,SEC
2023-09-30,Notre Dame vs Duke,ABC,7:30p,5.32,Independent vs  ACC,Notre Dame,Duke,Independent,ACC
2023-09-30,Michigan vs Nebraska,FOX,3:30p,4.48,B10 vs  B10,Michigan,Nebraska,B10,B10
2023-09-30,LSU vs Mississippi St.,ESPN,6:00p,3.72,SEC vs  SEC,LSU,Mississippi St.,SEC,SEC
2023-09-30,Alabama vs Mississippi St.,ESPN,9:00p,3.35,SEC vs  SEC,Alabama,Mississippi St.,SEC,SEC
2023-09-30,Kansas vs Texas,ABC,3:30p,3.32,B12 vs  B12,Kansas,Texas,B12,B12
2023-09-30,Florida vs Kentucky,ESPN,12:00p,2.32,SEC vs  SEC,Florida,Kentucky,SEC,SEC
2023-09-30,Michigan State vs Iowa,NBC,7:30p,2.17,B10 vs  B10,Michigan State,Iowa,B10,B10
2023-09-30,Clemson vs Syracuse,ABC,12:00p,1.97,ACC vs  ACC,Clemson,Syracuse,ACC,ACC
2023-10-07,Oklahoma vs Texas,ABC,12:00p,7.87,B12 vs  B12,Oklahoma,Texas,B12,B12
2023-10-07,Alabama vs Texas A&M,CBS,3:30p,7.23,SEC vs  SEC,Alabama,Texas A&M,SEC,SEC
2023-10-07,Notre Dame vs Louisville,ABC,7:30p,5.12,Independent vs  ACC,Notre Dame,Louisville,Independent,ACC
2023-10-07,Maryland vs Ohio State,FOX,12:00p,4.51,B10 vs  B10,Maryland,Ohio State,B10,B10
2023-10-07,Kentucky vs Georgia,ESPN,7:00p,3.19,SEC vs  SEC,Kentucky,Georgia,SEC,SEC
2023-10-07,Michigan vs Minnesota,NBC,7:30p,3.06,B10 vs  B10,Michigan,Minnesota,B10,B10
2023-10-07,Virginia Tech vs FSU,ABC,3:30p,3.02,ACC vs  ACC,Virginia Tech,FSU,ACC,ACC
2023-10-07,Arizona vs USC,ESPN,10:30p,2.55,P12 vs  P12,Arizona,USC,P12,P12
2023-10-07,LSU vs Missouri,ESPN,12:00p,2.34,SEC vs  SEC,LSU,Missouri,SEC,SEC
2023-10-06,Kansas State vs Oklahoma State,ESPN,7:30p,2.27,B12 vs  B12,Kansas State,Oklahoma State,B12,B12
2023-10-14,Oregon vs Washington,ABC,3:30p,7.04,P12 vs  P12,Oregon,Washington,P12,P12
2023-10-14,USC vs Notre Dame,NBC,7:30p,6.43,P12 vs  Independent,USC,Notre Dame,P12,Independent
2023-10-14,Texas A&M vs Tennessee,CBS,3:30p,4.38,SEC vs  SEC,Texas A&M,Tennessee,SEC,SEC
2023-10-14,Indiana vs Michigan,FOX,12:00p,3.55,B10 vs  B10,Indiana,Michigan,B10,B10
2023-10-14,Arkansas vs Alabama,ESPN,12:00p,3.43,SEC vs  SEC,Arkansas,Alabama,SEC,SEC
2023-10-14,Stanford vs Colorado,ESPN,10:00p,3.29,P12 vs  B12,Stanford,Colorado,P12,B12
2023-10-14,Miami vs North Carolina,ABC,7:30p,3.08,ACC vs  ACC,Miami,North Carolina,ACC,ACC
2023-10-14,Georgia vs Vanderbilt,CBS,12:00p,2.46,SEC vs  SEC,Georgia,Vanderbilt,SEC,SEC
2023-10-14,Iowa vs Wisconsin,FOX,4:00p,2.34,B10 vs  B10,Iowa,Wisconsin,B10,B10
2023-10-14,Auburn vs LSU,ESPN,7:00p,2.16,SEC vs  SEC,Auburn,LSU,SEC,SEC
2023-10-21,Penn State vs Ohio State,FOX,12:00p,9.96,B10 vs  B10,Penn State,Ohio State,B10,B10
2023-10-21,Tennessee vs Alabama,CBS,3:30p,8.01,SEC vs  SEC,Tennessee,Alabama,SEC,SEC
2023-10-21,Duke vs FSU,ABC,7:30p,4.08,ACC vs  ACC,Duke,FSU,ACC,ACC
2023-10-21,Michigan vs Michigan St,NBC,12:00p,3.73,B10 vs  B10,Michigan,Michigan St,B10,B10
2023-10-21,Utah vs USC,FOX,8:00p,3.23,P12 vs  P12,Utah,USC,P12,P12
2023-10-21,Texas vs Houston,FOX,4:00p,3.06,B12 vs  B12,Texas,Houston,B12,B12
2023-10-21,Washington St vs Oregon,ABC,3:30p,2.35,B12 vs  P12,Washington St,Oregon,B12,P12
2023-10-21,UCF vs Oklahoma,ABC,2:30p,2.17,B12 vs  B12,UCF,Oklahoma,B12,B12
2023-10-21,Mississippi vs Auburn,ESPN,7:00p,1.8,SEC vs  SEC,Mississippi,Auburn,SEC,SEC
2023-10-21,Minnesota vs Iowa,NBC,3:30p,1.68,B10 vs  B10,Minnesota,Iowa,B10,B10
2023-10-28,Georgia vs Florida,CBS,3:30p,5.95,SEC vs  SEC,Georgia,Florida,SEC,SEC
2023-10-28,Ohio State vs Wisconsin,NBC,7:30p,4.87,B10 vs  B10,Ohio State,Wisconsin,B10,B10
2023-10-28,Colorado vs UCLA,ABC,7:30p,4.66,P12 vs  P12,Colorado,UCLA,P12,P12
2023-10-28,Oklahoma vs Kansas,FOX,12:00p,3.6,B12 vs  B12,Oklahoma,Kansas,B12,B12
2023-10-28,Indiana vs Penn State,CBS,12:00p,3.04,B10 vs  B10,Indiana,Penn State,B10,B10
2023-10-28,Oregon vs Utah,FOX,3:30p,2.81,P12 vs  P12,Oregon,Utah,P12,P12
2023-10-28,Tennessee vs Kentucky,ESPN,7:00p,2.51,SEC vs  SEC,Tennessee,Kentucky,SEC,SEC
2023-10-28,BYU vs Texas,ABC,3:30p,2.38,B12 vs  B12,BYU,Texas,B12,B12
2023-10-28,FSU vs Wake Forest,ABC,12:00p,2.04,ACC vs  ACC,FSU,Wake Forest,ACC,ACC
2023-10-28,South Carolina vs Texas A&M,ESPN,12:00p,1.9,SEC vs  SEC,South Carolina,Texas A&M,SEC,SEC
2023-11-04,LSU vs Alabama,CBS,7:45p,8.82,SEC vs  SEC,LSU,Alabama,SEC,SEC
2023-11-04,Missouri vs Georgia,CBS,3:30p,7,SEC vs  SEC,Missouri,Georgia,SEC,SEC
2023-11-04,Washington vs USC,ABC,7:30p,4.45,P12 vs  P12,Washington,USC,P12,P12
2023-11-04,Ohio State vs Rutgers,CBS,12:00p,3.96,B10 vs  B10,Ohio State,Rutgers,B10,B10
2023-11-04,Oklahoma vs Oklahoma State,ABC,3:30p,3.76,B12 vs  B12,Oklahoma,Oklahoma State,B12,B12
2023-11-04,Notre Dame vs Clemson,ABC,12:00p,3.24,Independent vs  ACC,Notre Dame,Clemson,Independent,ACC
